daba,français
ngäng :,teeth
dîû :,ten
ngìrà :,tendons; gristle
yç,termite : type of
wº,termite : type of
gù® :,testicles
ngàá t,"that, which, who, whom"
-dé,them (acc. and obl.)
à,"then, and then"
nø,there (far off)
ndè® :,ick : to be
ßäng :,igh
yþm :,in : to be
yª,ing
kùndä :,irst
dî-mîtá,thirty
yó :,"this, that (emphatic)"
kûn,thorn
sák :,thousand
mîtá :,three
ìlä,throw : to
ù÷,throw at : to
ndàng :,thunder : to
mŸ :,tick
dîû,tie : to
njà,"time, occurrence"
îr,tired : to be
kà® :,toad
máñg :,tobacco
ßó-nèë :,today
n¼º-tí :,together
lòtï :,morrow
ndÅ :,ngue
îd,uch : to
güm :,ap
käg :,ee
jïl,tree : African mahogany
yïdû,tree : Anogeissus sp.
mät :,tree : Parkia africana
ßìtî :,tree : type of
ndèb :,tremble : to
mbä,"trip; guest, host"
mŸ,"turtle, type of"
dî-jö÷,twenty u
ndùngà :,twin u
÷ùg :,"twisted, bent, to be"
nél-mä•,twister
jó÷,two
njíl :,ulate : to
nän,cle (maternal)
ngór :,ripe fruit
njút :,tie
dÅÇ,til
kéd-màñ,urine
-jé,us (obj. of verb)
ßë,village
ndü,voice
töm :,vomit : to
mäl,vulture :
ngóg :,wait for : to
ndó£ :,wake up : to
tïgä :,walk : to
gè,want : to
tígó :,wash : to
bïrb¡ :,wasp : type of w
yët :,wasp : yellow w
màñ,ter
j-,terbuck : type of
ùlà,"ar, put on : to"
ìjö,ave : to
tïrö,weed : type of
bìlò-màñ,well
y¬n :,wet : to be
÷í,what
lò-ngàá :,when
÷á,where
ngàá-÷á :,which?
ndéy :,whip
tïyö :,whistle
"ndà,Ÿþ :",white : to be
mùnjú :,white person
nª,who?
tû-÷í :,"why, for what"
"là,tát :",wide : to be
n¬yª :,wife
mùlà :,wildcat
nél,nd
ßì®,"nd up, wrap up : to"
bî®,pe : to
ì,th
sè-,th (with pronoun affixes)
-² :,th him/her/it
sª,thout
dŸÏ :,man
kùlà :,work
ndüs :,worm-eaten : to be
ßì® :,"wrap, bind : to"
ìjà :,write : to
ngú£ :,yam
lóö,yawn : to
tàg‡-nèë :,yesterday
-í,you : (sing. oblique)
-ï,you (acc. sing.)
ï-,u (nom.)
-sé,u (oblique plural)
